place,esite,etype,area,location,id,email,site,bu,type
Terrace 2,,,,Terrace 2,HONC-FE-FE-HE-05-B-44,tan.ton@siamcitycement.com,honc,vn,extinguisher
CCR máy nghiền đá vôi,,,,CCR máy nghiền đá vôi,HONC-FE-FE-QRY-RMP-07-B-01-02,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Kho VLNCN,,,,Kho VLNCN,HONC-FE-FE-QRY-01-C-01-02-03-04-05,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Khu vực cầu cân,,,,Khu vực cầu cân,HONC-FE-FES-WB-02,trang.hong.le@siamcitycement.com,honc,vn,extinguisher
Cửa trước kho pallet,,,,Cửa trước kho pallet,HONC-FE-FES-PL-01,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cửa trước kho pallet,,,,Cửa trước kho pallet,HONC-FE-FES-PL-02,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cửa sau kho pallet,,,,Cửa sau kho pallet,HONC-FE-FES-PL-11,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cửa sau kho pallet,,,,Cửa sau kho pallet,HONC-FE-FES-PL-12,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Gần tủ điện Pallet,,,,Gần tủ điện Pallet,HONC-FE-FES-PL-03,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cửa trước kho pallet,,,,Cửa trước kho pallet,HONC-FE-FES-PL-31,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Nhà Chờ Kho Cao Su,,,,Nhà Chờ Kho Cao Su,HONC-FE-FE-ECO-NHZ-C-01-02,huan.tran@siamcitycement.com,honc,vn,extinguisher
Cầu Thang Lên Đuôi Lò ,,,, (Hướng Tây Nam),HONC-FE-FEcli-11,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng Trệt,,,,Máy Nghiền Clinker Số 1,HONC-FE-FEcem-01,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng trệt tòa nhà ,,,, Turbin và máy phát,HONC-FE-FEwhr-28,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng trệt tòa nhà ,,,, Turbin và máy phát,HONC-FE-FEwhr-60,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng trệt tòa nhà ,,,, Turbin và máy phát,HONC-FE-FEwhr-36,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng trệt tòa nhà ,,,, Turbin và máy phát,HONC-FE-FEwhr-46,thai.truong@siamcitycement.com,honc,vn,extinguisher
Phòng lấy mẫu nước,,,,Phòng lấy mẫu nước,HONC-FE-FEwhr-29,thai.truong@siamcitycement.com,honc,vn,extinguisher
Phòng lấy mẫu nước,,,,Phòng lấy mẫu nước,HONC-FE-FEwhr-16,thai.truong@siamcitycement.com,honc,vn,extinguisher
Cửa Kho Nhập Vỏ Bao,,,,Cửa Kho Nhập Vỏ Bao,HONC-FE-FEpkp-03,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Khu vực kho hàn cắt,,,,Khu vực kho hàn cắt,HONC-FE-FEworkshop-01,thai.truong@siamcitycement.com,honc,vn,extinguisher
Cable Tunnel 4-1,,,,Cable Tunnel 4-1,HONC-FE-FE-ELEC-C1-03,hung.thai@siamcitycement.com,honc,vn,extinguisher
Stacker thạch cao,,,,Stacker thạch cao,HONC-FE-FE-J51-B-01,hung.thai@siamcitycement.com,honc,vn,extinguisher
Reclaimer than,,,,Reclaimer than,HONC-FE-FE-LRE-B-01,hung.thai@siamcitycement.com,honc,vn,extinguisher
Trạm 2-2,,,,Trạm 2-2,HONC-FE-FE-S22-B-01-2-3-4,hung.thai@siamcitycement.com,honc,vn,extinguisher
Tầng 2 tòa nhà cấp liệu ,,,, Máy Nghiền Bột Sống,HONC-FE-FE-RM-01,thai.truong@siamcitycement.com,honc,vn,extinguisher
Cảng trấu số 1,,,,Cảng trấu số 1,HONC-FE-ECO-LOG-FEX-13-14-15,huan.tran@siamcitycement.com,honc,vn,extinguisher
Phễu than L31-WF2,,,,Phễu than L31-WF2,HONC-FE-FE-CoS-03,thai.truong@siamcitycement.com,honc,vn,extinguisher
PTN Eco- Hành lang,,,,PTN Eco- Hành lang,HONC-FE-FE-ECO-Lab-11-C-01-02,huan.tran@siamcitycement.com,honc,vn,extinguisher
PTN Eco- P.Test mẫu,,,,PTN Eco- P.Test mẫu,HONC-FE-FE-ECO-Lab-11-C-04-05,huan.tran@siamcitycement.com,honc,vn,extinguisher
PTN Eco- P.Lưu mẫu,,,,PTN Eco- P.Lưu mẫu,HONC-FE-FE-ECO-Lab-11-C-06-07,huan.tran@siamcitycement.com,honc,vn,extinguisher
Tầng trệt khu vực,,,,Shiploader,HONC-FE-FEpkp-07-08-09,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Tầng trệt khu vực,,,,Truckloader,HONC-FE-FEpkp-12-13,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Tầng trệt khu vực,,,,Vít tải Packer3,HONC-FE-FEpkp-19-20,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Stacker,,,,Stacker,HONC-FE-FES-ST-01-02-03,trang.hong.le@siamcitycement.com,honc,vn,extinguisher
Phòng máy phát điện ATS,,,,Phòng máy phát điện ATS,HONC-FE-FE-ELEC-ATS-01,hung.thai@siamcitycement.com,honc,vn,extinguisher
Hz-Liquid Storage,,,,Hz-Liquid Storage,HONC-FE-GEO-HZ-FEX-004,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Storage 10x60,,,,Hz-Storage 10x60,HONC-FE-GEO-HZ-FEX-008,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Storage 10x60,,,,Hz-Storage 10x60,HONC-FE-GEO-HZ-FEX-010,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Storage 10x60,,,,Hz-Storage 10x60,HONC-FE-GEO-HZ-FEX-014,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Storage 10x60,,,,Hz-Storage 10x60,HONC-FE-GEO-HZ-FEX-015,huan.tran@siamcitycement.com,honc,vn,extinguisher
"Kho Dầu DO
Diesel Tank",,,,"Kho Dầu DO
Diesel Tank",HONC-FE-FE-QRY-DO-B03,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Xưởng cơ khí bên hông xưởng  “Bình An”,,,,Xưởng cơ khí bên hông xưởng  “Bình An”,HONC-MM-WS-FEB-29-30,s.le@siamcitycement.com,honc,vn,extinguisher
Canteen,,,,Canteen,HONC-FE-FE-HS-01-C-10-B-10,tan.ton@siamcitycement.com,honc,vn,extinguisher
Nhà xe gắn máy,,,,Nhà xe gắn máy,HONC-FE-FE-HS-01-B-24-25,tan.ton@siamcitycement.com,honc,vn,extinguisher
Trạm Bảo Vệ cảng sông T7,,,,Trạm Bảo Vệ cảng sông T7,HONC-FE-FE-HS-01-B-33-34,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace 3,,,,Terrace 3,HONC-FE-FE-HE-06-B-26,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace 1,,,,Terrace 1,HONC-FE-FE-HE-04-B-33,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace 2,,,,Terrace 2,HONC-FE-FE-HE-05-B-43,tan.ton@siamcitycement.com,honc,vn,extinguisher
Phòng hành chính,,,,Phòng hành chính,HONC-FE-FE-HE-08-B-49-50,tan.ton@siamcitycement.com,honc,vn,extinguisher
Hộp để cửa kho,,,,Hộp để cửa kho,HONC-FE-FE-QRY-MEP-02-B-01-02,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Hộp để cửa sau xưởng,,,,Hộp để cửa sau xưởng,HONC-FE-FE-QRY-MEP-03-B-01-02,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Nhà trung chuyển sét + cát,,,,Nhà trung chuyển sét + cát,HONC-FE-FE-QRY-RMP-02-B-01-02,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Khu vực cầu cân,,,,Khu vực cầu cân,HONC-FE-FES-WB-01,trang.hong.le@siamcitycement.com,honc,vn,extinguisher
Cửa trước phòng hậu cần,,,,Cửa trước phòng hậu cần,HONC-FE-FES-AD-01,trang.hong.le@siamcitycement.com,honc,vn,extinguisher
Gần tủ điện Pallet,,,,Gần tủ điện Pallet,HONC-FE-FES-PL-04,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cẩu over head,,,,Cẩu over head,HONC-FE-FES-OC-01,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cửa trước kho pallet,,,,Cửa trước kho pallet,HONC-FE-FES-PL-17,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cửa trước kho pallet,,,,Cửa trước kho pallet,HONC-FE-FES-PL-18,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cửa hong cảng xuất hàng,,,,Cửa hong cảng xuất hàng,HONC-FE-FES-PL-29,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Phía trên chổ Băng tải chia bao,,,,Phía trên chổ Băng tải chia bao,HONC-FE-FES-PL-34,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cẩu over head,,,,Cẩu over head,HONC-FE-FES-PL-35,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Kho 1 Cao Su,,,,Kho 1 Cao Su,HONC-FE-FE-ECO-NHZ-B-01-02,huan.tran@siamcitycement.com,honc,vn,extinguisher
Kho 2 Cao Su,,,,Kho 2 Cao Su,HONC-FE-FE-ECO-NHZ-B-03-04,huan.tran@siamcitycement.com,honc,vn,extinguisher
Trạm làm mát ,,,,máy cắt XR-3000,HONC-FE-FE-ECO-NHZ-C-06-07,huan.tran@siamcitycement.com,honc,vn,extinguisher
Cầu Thang Lên Đuôi Lò ,,,, (Hướng Đông Nam),HONC-FE-FEcli-09,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng Trệt,,,,Máy Nghiền Clinker Số 1,HONC-FE-FEcem-02,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng 1 ,,,,(Giữa 2 Máy Nghiền Clinker),HONC-FE-FEcem-04,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng trệt tòa nhà ,,,, Turbin và máy phát,HONC-FE-FEwhr-27,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng trệt tòa nhà ,,,, Turbin và máy phát,HONC-FE-FEwhr-25,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng 2 tòa nhà,,,,Turbine và máy phát,HONC-FE-FEwhr-34,thai.truong@siamcitycement.com,honc,vn,extinguisher
"Tầng 3 tòa nhà turbine và máy phát.
Trước cổng vào Dearator",,,,"Tầng 3 tòa nhà turbine và máy phát.
Trước cổng vào Dearator",HONC-FE-FEwhr-58,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng trệt và gần ,,,, các bơm lọc nước,HONC-FE-FEwhr-03,thai.truong@siamcitycement.com,honc,vn,extinguisher
"Tầng một, bên trong nhà ",,,," gần các cột lọc cát, than và RO",HONC-FE-FEwhr-40,thai.truong@siamcitycement.com,honc,vn,extinguisher
Trạm 2-1,,,,Trạm 2-1,HONC-FE-FE-S21-B-01-2-3-4,hung.thai@siamcitycement.com,honc,vn,extinguisher
Trạm 2-5,,,,Trạm 2-5,HONC-FE-FE-S25-B-01-2,hung.thai@siamcitycement.com,honc,vn,extinguisher
Máy cào sét,,,,Máy cào sét,HONC-FE-FE-CLAY-B-01,hung.thai@siamcitycement.com,honc,vn,extinguisher
Cửa Phòng Vận Hành,,,, Máy Cào Đá Vôi,HONC-FE-FE-Limestone-01,thai.truong@siamcitycement.com,honc,vn,extinguisher
Trên cẩu,,,,Trên cẩu,HONC-FE-FE-ATS-05,thai.truong@siamcitycement.com,honc,vn,extinguisher
Băng tải tách kim loại,,,,(hướng biển),HONC-FE-FE-ATS-07,thai.truong@siamcitycement.com,honc,vn,extinguisher
Trên AF 1/2,,,,Trên AF 1/2,HONC-FE-FE-ATS-09,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng trệt khu vực,,,,cửa kho bao IPS,HONC-FE-FEpkp-25-26,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Hz-Storage 10x60,,,,Hz-Storage 10x60,HONC-FE-GEO-HZ-FEX-007,huan.tran@siamcitycement.com,honc,vn,extinguisher
Xe kẹp phuy điện,,,,Xe kẹp phuy điện,HONC-FE-GEO-HZ-FEX-023,huan.tran@siamcitycement.com,honc,vn,extinguisher
Forklift 19530033,,,,NISHIO,HONC-GEO-HZ-FEX-021,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Container Office,,,,Hz-Container Office,HONC-FE-GEO-HZ-FEX-028,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Container Liquid Office,,,,Hz-Container Liquid Office,HONC-FE-GEO-HZ-FEX-029,huan.tran@siamcitycement.com,honc,vn,extinguisher
Phòng điện Palletizer 2,,,,Phòng điện Palletizer 2,HONC-FE-EM-PALLETIZER-2,hung.thai@siamcitycement.com,honc,vn,extinguisher
Hầm cáp 3-1,,,,Hầm cáp 3-1,HONC-FE-ELEC-31-03-04,hung.thai@siamcitycement.com,honc,vn,extinguisher
Khu Hành Chính,,,,Khu Hành Chính,HONC-FE-FE-HS-01-C-03-B-03,thao.duong@siamcitycement.com,honc,vn,extinguisher
"Nhà Tắm_Trạm, Ytế",,,,"Nhà Tắm_Trạm, Ytế",HONC-FE-FE-HS-01-B-12-13,thao.duong@siamcitycement.com,honc,vn,extinguisher
Villa 1- 8,,,,Villa 1- 8,HONC-FE-FE-HE-07-B-07,tan.ton@siamcitycement.com,honc,vn,extinguisher
Block A 5,,,,Block A 5,HONC-FE-FE-HE-01-B-11-12,tan.ton@siamcitycement.com,honc,vn,extinguisher
Block C10,,,,Block C10,HONC-FE-FE-HE-03-B-21-22,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace 3,,,,Terrace 3,HONC-FE-FE-HE-06-B-28,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace,,,,Terrace,HONC-FE-FE-HE-04-B-35,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace 2,,,,Terrace 2,HONC-FE-FE-HE-05-B-40,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace,,,,Terrace,HONC-FE-FE-HE-05-B-42,tan.ton@siamcitycement.com,honc,vn,extinguisher
Cổng bảo vệ,,,,Cổng bảo vệ,HONC-FE-FE-HE-11-B-51-52-53-54,tan.ton@siamcitycement.com,honc,vn,extinguisher
Bãi chứa chất thải,,,,Bãi chứa chất thải,HONC-FE-FE-QRY-MEP-04-B-01-02,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Trạm điện P.G.N.A.A (2.2),,,,Trạm điện P.G.N.A.A (2.2),HONC-FE-FE-QRY-RMP-04-B-01-02,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Trạm điện Hố thu cũ (2.3),,,,Trạm điện Hố thu cũ (2.3),HONC-FE-FE-QRY-RMP-08-B-01-02,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Cửa sau phòng hậu cần,,,,Cửa sau phòng hậu cần,HONC-FE-FES-AD-03,trang.hong.le@siamcitycement.com,honc,vn,extinguisher
Cửa sau kho pallet,,,,Cửa sau kho pallet,HONC-FE-FES-PL-14,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cửa trước kho pallet,,,,Cửa trước kho pallet,HONC-FE-FES-PL-32,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Cửa sau kho pallet,,,,Cửa sau kho pallet,HONC-FE-FES-PL-25,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Nhà Vệ Sinh ,,,,Văn Phòng Kho Cao Su,HONC-FE-FE-ECO-NHZ-C-05,huan.tran@siamcitycement.com,honc,vn,extinguisher
Trạm Điện 5-1 ,,,, (Hướng Bắc),HONC-FE-FEcem-11,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng 2 tòa nhà,,,,Turbine và máy phát,HONC-FE-FEwhr-55,thai.truong@siamcitycement.com,honc,vn,extinguisher
Phòng vận hành LCR,,,,Phòng vận hành LCR,HONC-FE-FEwhr-54,thai.truong@siamcitycement.com,honc,vn,extinguisher
"Tầng 3 tòa nhà turbine và máy phát.
Trước cổng vào Dearator",,,,"Tầng 3 tòa nhà turbine và máy phát.
Trước cổng vào Dearator",HONC-FE-FEwhr-57,thai.truong@siamcitycement.com,honc,vn,extinguisher
Đặt gần các bôn ,,,, chứa hóa chất xử lý nước,HONC-FE-FEwhr-01,thai.truong@siamcitycement.com,honc,vn,extinguisher
Đặt gần các bôn ,,,, chứa hóa chất xử lý nước,HONC-FE-FEwhr-02,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng trệt và gần ,,,, các bơm lọc nước,HONC-FE-FEwhr-04,thai.truong@siamcitycement.com,honc,vn,extinguisher
"Tầng một, bên trong nhà ",,,," gần các cột lọc cát, than và RO",HONC-FE-FEwhr-07,thai.truong@siamcitycement.com,honc,vn,extinguisher
"Tầng một, bên trong nhà ",,,," gần các cột lọc cát, than và RO",HONC-FE-FEwhr-08,thai.truong@siamcitycement.com,honc,vn,extinguisher
"Tầng một, bên trong nhà ",,,," gần các cột lọc cát, than và RO",HONC-FE-FEwhr-10,thai.truong@siamcitycement.com,honc,vn,extinguisher
Khu vực kho gạch,,,,Khu vực kho gạch,HONC-FE-FEworkshop-02,thai.truong@siamcitycement.com,honc,vn,extinguisher
"Xưởng Cơ
Khí .Cửa Chính kho",,,,"Xưởng Cơ
Khí .Cửa Chính kho",HONC-FE-FE-B-21,S.le@siamcitycement.com,honc,vn,extinguisher
"Xưởng Cơ
Khí .Xưởng hàn",,,,"Xưởng Cơ
Khí .Xưởng hàn",HONC-FE-FE-B-23,S.le@siamcitycement.com,honc,vn,extinguisher
"Xưởng Cơ
Khí .Cửa phụ kho điện",,,,"Xưởng Cơ
Khí .Cửa phụ kho điện",HONC-FE-FE-B-24,S.le@siamcitycement.com,honc,vn,extinguisher
Trạm điện B1,,,,Substation B1,HONC-FE-FE-ELEC-B1-04-05-06,hung.thai@siamcitycement.com,honc,vn,extinguisher
Trạm điện 5.1,,,,Substation 5.1,HONC-FE-FE-ELEC-51-11-12,hung.thai@siamcitycement.com,honc,vn,extinguisher
Trạm xúc liệu lên,,,,ShipUnloader,HONC-FE-FE-ELEC-UM-16,hung.thai@siamcitycement.com,honc,vn,extinguisher
Trạm 6-2,,,,Trạm 6-2,HONC-FE-FE-S62-B-01-02,hung.thai@siamcitycement.com,honc,vn,extinguisher
Trạm Điện 3-2 ,,,,Trạm Điện 3-2 ,HONC-FE-FE-Limestone-02,thai.truong@siamcitycement.com,honc,vn,extinguisher
Chân cầu thang lên AF,,,,Chân cầu thang lên AF,HONC-FE-FE-ATS-04,thai.truong@siamcitycement.com,honc,vn,extinguisher
Ecocycle Logistic,,,,Ecocycle Logistic,HONC-HONC-FE-ECO-LOG-FEX-4-5-6,huan.tran@siamcitycement.com,honc,vn,extinguisher
Cảng trấu số 2,,,,Cảng trấu số 2,HONC-FE-ECO-LOG-FEX-16-17-18,huan.tran@siamcitycement.com,honc,vn,extinguisher
PTN Eco- P.Test mẫu mới,,,,PTN Eco- P.Test mẫu mới,HONC-FE-FE-ECO-Lab-11-C-08-09,huan.tran@siamcitycement.com,honc,vn,extinguisher
Phòng ăn PKP,,,,Phòng ăn PKP,HONC-FE-FEpkp-02,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Tầng trệt khu vực,,,,Vít tải Packer1,HONC-FE-FEpkp-17-18,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Tầng 1 khu vực Packer3,,,,Tầng 1 khu vực Packer3,HONC-FE-FEpkp-30-33-34,nhin.bui@siamcitycement.com,honc,vn,extinguisher
561_HG1 (Lò trấu 1).,,,,561_HG1 (Lò trấu 1).,HONC-FE-FE-561-HG1-01,thai.truong@siamcitycement.com,honc,vn,extinguisher
Hz-Liquid Storage,,,,Hz-Liquid Storage,HONC-FE-GEO-HZ-FEX-006,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Storage 10x60,,,,Hz-Storage 10x60,HONC-FE-GEO-HZ-FEX-012,huan.tran@siamcitycement.com,honc,vn,extinguisher
Xe tải ben ,,,,HzHz-Shredder Storage,HONC-FE-GEO-HZ-FEX-026,huan.tran@siamcitycement.com,honc,vn,extinguisher
EVE Xe oxy/ace gas,,,,EVE Xe oxy/ace gas,HONC-FE-FE-EVE-OA-05,tien.phan@siamcitycement.com,honc,vn,extinguisher
Cement Mill. Phía sau Hotgas 2,,,,Cement Mill. Phía sau Hotgas 2,HONC-FE-FEcem-17,thai.truong@siamcitycement.com,honc,vn,extinguisher
"Kho Dầu DO
Diesel Tank",,,,"Kho Dầu DO
Diesel Tank",HONC-FE-FE-QRY-DO-B04,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Reclaimer đá vôi 311-RE1,,,,Reclaimer đá vôi 311-RE1,HONC-FE-EM-RC-311-RE1,hung.thai@siamcitycement.com,honc,vn,extinguisher
Tòa nhà cấp liệu xi măng,,,,Tòa nhà cấp liệu xi măng,HONC-FEcem-17,thai.truong@siamcitycement.com,honc,vn,extinguisher
"Nhà Tắm_Trạm, Ytế",,,,"Nhà Tắm_Trạm, Ytế",HONC-FE-FE-HS-01-B-14-15,thao.duong@siamcitycement.com,honc,vn,extinguisher
Trạm Bảo Vệ C5,,,,Trạm Bảo Vệ C5,HONC-FE-FE-HS-01-B-31-32,tan.ton@siamcitycement.com,honc,vn,extinguisher
Phòng Đào Tạo,,,,Phòng Đào Tạo,HONC-FE-FE-HS-01-B-35-C-13,thao.duong@siamcitycement.com,honc,vn,extinguisher
CCR,,,,CCR,HONC-FE-FE-HS-01-B-37-C-15,thai.truong@siamcitycement.com,honc,vn,extinguisher
Villa 1- 8,,,,Villa 1- 8,HONC-FE-FE-HE-07-B-02,tan.ton@siamcitycement.com,honc,vn,extinguisher
Villa 1- 8,,,,Villa 1- 8,HONC-FE-FE-HE-07-B-08,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace 3,,,,Terrace 3,HONC-FE-FE-HE-06-B-25,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace 1,,,,Terrace 1,HONC-FE-FE-HE-04-B-34,tan.ton@siamcitycement.com,honc,vn,extinguisher
Terrace 4,,,,Terrace 4,HONC-FE-FE-HE-05-B-46,tan.ton@siamcitycement.com,honc,vn,extinguisher
Tram điện,,,,Tram điện,HONC-FE-FE-HE-10-B-47-48,tan.ton@siamcitycement.com,honc,vn,extinguisher
Máy hàn xưởng mỏ,,,,Máy hàn xưởng mỏ,HONC-FE-FE-QRY-MEP-B-02,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Máy cào đất sét,,,,Máy cào đất sét,HONC-FE-FE-QRY-RMP-01-B-01-02,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Kho VLNCN,,,,Kho VLNCN,HONC-FE-FEqry-34-35,thang.trieu@siamcitycement.com,honc,vn,extinguisher
Cửa sau kho pallet,,,,Cửa sau kho pallet,HONC-FE-FES-PL-13,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Kho 1 Cao Su,,,,Kho 1 Cao Su,HONC-FE-FE-ECO-NHZ-C-11,huan.tran@siamcitycement.com,honc,vn,extinguisher
Cửa Trạm Khí Nén,,,,Máy Nghiền Clinker Số 1,HONC-FE-FEcem-10,thai.truong@siamcitycement.com,honc,vn,extinguisher
Sàn 1 Đóng Bao Jumbo,,,,Sàn 1 Đóng Bao Jumbo,HONC-FE-FEcem-13,thai.truong@siamcitycement.com,honc,vn,extinguisher
Tầng 2 tòa nhà,,,,Turbine và máy phát,HONC-FE-FEwhr-52,thai.truong@siamcitycement.com,honc,vn,extinguisher
Phòng vận hành LCR,,,,Phòng vận hành LCR,HONC-FE-Fewhr-53,thai.truong@siamcitycement.com,honc,vn,extinguisher
Phía sau và bên phải ,,,,cổng vào nhà xử lý nước,HONC-FE-FEwhr-13,thai.truong@siamcitycement.com,honc,vn,extinguisher
Gần pump Y81-PU1,,,,Gần pump Y81-PU1,HONC-FE-FEwhr-11,thai.truong@siamcitycement.com,honc,vn,extinguisher
Phòng lấy mẫu nước,,,,Phòng lấy mẫu nước,HONC-FE-FEwhr-41,thai.truong@siamcitycement.com,honc,vn,extinguisher
Phòng Ăn PKP,,,,Phòng Ăn PKP,HONC-FE-FEpkp-02,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Xưởng Cơ khí ,,,,Cửa phụ cạnh phòng CSHT,HONC-FE-FE-B-25,S.le@siamcitycement.com,honc,vn,extinguisher
Xưởng Cơ Khí ,,,,Cửa Phụ xưởng hàn phía sau,HONC-FE-FE-B-26,S.le@siamcitycement.com,honc,vn,extinguisher
Sub 4-1,,,,Sub 4-1,HONC-FE-FE-ELEC-C1-02-B1-05-06,hung.thai@siamcitycement.com,honc,vn,extinguisher
Tầng 1 Cầu Thang,,,,Tầng 1 Cầu Thang,HONC-FE-FE-RM-03,thai.truong@siamcitycement.com,honc,vn,extinguisher
Góc Nhà Vòm ,,,, Hướng Đông Bắc,HONC-FE-FE-CoS-01,thai.truong@siamcitycement.com,honc,vn,extinguisher
Sàn Tầng 1,,,,Sàn Tầng 1,HONC-FE-FE-CoM-02,thai.truong@siamcitycement.com,honc,vn,extinguisher
Chân cầu thang lên cẩu,,,,Chân cầu thang lên cẩu,HONC-FE-FE-ATS-06,thai.truong@siamcitycement.com,honc,vn,extinguisher
Ecocycle Logistic,,,,Ecocycle Logistic,HONC-HONC-FE-ECO-LOG-FEX-1-2-3,huan.tran@siamcitycement.com,honc,vn,extinguisher
Tầng trệt khu vực,,,,đáy Silo4,HONC-FE-FEpkp-21-22,nhin.bui@siamcitycement.com,honc,vn,extinguisher
Trước container cement.,,,,Trước container cement.,HONC-FE-FE-Cement-Container-01,thai.truong@siamcitycement.com,honc,vn,extinguisher
Hz-Storage 10x60,,,,Hz-Storage 10x60,HONC-FE-GEO-HZ-FEX-013,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Blending Storage,,,,Hz-Blending Storage,HONC-FE-GEO-HZ-FEX-018,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Blending Storage,,,,Hz-Blending Storage,HONC-FE-GEO-HZ-FEX-020,huan.tran@siamcitycement.com,honc,vn,extinguisher
Forklift 19530034,,,,NISHIO,HONC-GEO-HZ-FEX-022,huan.tran@siamcitycement.com,honc,vn,extinguisher
Xe Xuc ,,,,Hz-Shredder Storage,HONC-FE-GEO-HZ-FEX-024,huan.tran@siamcitycement.com,honc,vn,extinguisher
Hz-Container Office,,,,Hz-Container Office,HONC-FE-GEO-HZ-FEX-027,huan.tran@siamcitycement.com,honc,vn,extinguisher
Phòng 461-LQ3,,,,Phòng 461-LQ3,HONC-FE-FE-CLI-15,thai.truong@siamcitycement.com,honc,vn,extinguisher
Phòng điện Packer 3,,,,Phòng điện Packer 3,HONC-FE-EM-PACKER-3,hung.thai@siamcitycement.com,honc,vn,extinguisher
Phòng điện ,,,, Transport Palletizer1/2,HONC-FE-EM-TRANSPORT-PA-1-2,hung.thai@siamcitycement.com,honc,vn,extinguisher
Xưởng hàn eve phí sau,,,,Xưởng hàn eve phí sau,HONC-MM-WS-FEB-31-32,s.le@siamcitycement.com,honc,vn,extinguisher
Khu Hành Chính,,,,Khu Hành Chính,HONC-FE-FE-HS-01-C-05-B-05,thao.duong@siamcitycement.com,honc,vn,extinguisher
Nhà xe gắn máy,,,,Nhà xe gắn máy,HONC-FE-FE-HS-01-B-22-23,tan.ton@siamcitycement.com,honc,vn,extinguisher
Trạm Bảo Vệ C5,,,,Trạm Bảo Vệ C5,HONC-FE-FE-HS-01-B-41-C-16,tan.ton@siamcitycement.com,honc,vn,extinguisher
